Date,Open,High,Low,Close,Adj Close,Volume
2007-12-31,94.610001,94.959999,93.510002,93.690002,70.211243,13990900
2008-01-02,94.150002,94.550003,92.779999,93.510002,70.076355,23351900
2008-01-03,93.860001,94.739998,93.510002,93.830002,70.316162,19160600
2008-01-04,93.239998,94.360001,91.879997,92.080002,69.004692,24730900
2008-01-07,92.500000,93.150002,90.250000,91.220001,68.360245,28937500
2008-01-08,91.860001,92.050003,89.680000,90.050003,67.483429,21764500
2008-01-09,90.110001,91.730003,89.500000,91.559998,68.615028,26198800
2008-01-10,90.750000,92.160004,90.070000,91.660004,68.689957,27285300
2008-01-11,91.010002,91.860001,90.000000,90.300003,67.670784,22727200
2008-01-14,90.839996,91.250000,90.080002,90.830002,68.067955,20425900
2008-01-15,89.889999,89.889999,88.489998,89.019997,66.711525,26486000
2008-01-16,88.449997,89.349998,85.910004,86.529999,64.845535,35965400
2008-01-17,87.470001,87.910004,83.489998,83.910004,62.882114,34096500
2008-01-18,84.000000,86.470001,82.800003,85.080002,63.758907,43830600
2008-01-22,80.000000,83.980003,79.500000,82.449997,61.787968,49613500
2008-01-23,80.010002,83.489998,77.550003,83.449997,62.537388,47420700
2008-01-24,84.290001,86.070000,83.029999,86.000000,64.448349,31180900
2008-01-25,86.699997,86.989998,83.599998,83.940002,62.904587,28236100
2008-01-28,83.500000,85.339996,82.540001,85.129997,63.796371,23688800
2008-01-29,85.220001,86.360001,84.449997,85.080002,63.758907,22488400
2008-01-30,84.540001,87.470001,84.349998,85.279999,63.908802,24131900
2008-01-31,84.220001,86.400002,83.099998,85.699997,64.223534,32970800
2008-02-01,87.699997,87.860001,84.849998,85.949997,64.410858,28440200
2008-02-04,86.040001,86.290001,84.849998,85.440002,64.028694,18836700
2008-02-05,84.110001,84.220001,82.099998,82.110001,61.533195,30599700
2008-02-06,82.690002,83.070000,81.089996,81.440002,61.031101,29215900
2008-02-07,80.970001,82.510002,80.360001,81.889999,61.633194,26611800
2008-02-08,82.000000,82.400002,80.959999,81.709999,61.497715,24176500
2008-02-11,81.849998,83.300003,81.040001,83.220001,62.634201,22697000
2008-02-12,83.599998,85.080002,83.300003,84.379997,63.507282,25150600
2008-02-13,84.709999,85.699997,84.500000,85.489998,64.342667,21546600
2008-02-14,85.650002,86.699997,85.320000,85.550003,64.387833,21826800
2008-02-15,85.190002,85.599998,84.389999,85.370003,64.252365,23966100
2008-02-19,86.519997,87.970001,86.519997,87.010002,65.486687,22600400
2008-02-20,86.309998,88.599998,86.169998,88.099998,66.307060,24723800
2008-02-21,87.709999,88.000000,86.180000,86.919998,65.418945,30107300
